"";"unacceptable_antigens";"vpra";"count";"frequency"
"99";"A1 A2 A23 A24 A25 A11 A32 A68 A69 A80 B51 B52 B8 B44 B45 B13 B15 B70 B38 B39 B57 B58 B18 B49 B50 B56 B27 B35 B41 B42 B46 B47 B53 B59 B67 B78 B82 Bw4 Cw3 Cw12 DR1 DR8 DQ5 DQ4";99,61;1;0,000145011600928074
"100";"A1 A2 A23 A24 A25 A26 A11 A68 B62 B17 B22 DR6";94,87;1;0,000145011600928074
"101";"A1 A2 A23 A24 A25 A26 A34 A11 A68 A69 A36 A43 A80 B51 B52 B7 B8 B13 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B49 B54 B55 B56 B35 B60 B61 B41 B42 B46 B48 B53 B59 B67 B78 B81 B82 Bw6 DR1 DR4 DR12 DR7 DR9 DR10";99,94;1;0,000145011600928074
"102";"A1 A2 A23 A24 A25 A26 A34 A11 A68 A69 A36 A43 A80 B57 B58 B35 B73 B82 Cw3 Cw18 DR1 DR15 DR16 DR9 DR10 DR51 DQ5 DQ6 DQ4";99,14;1;0,000145011600928074
"103";"A1 A2 A23 A24 A25 A26 A34 A29 A30 A31 A32 A33 A74 A68 A69 A36 B52 B62 B63 B75 B77 B71 B72 B57 B58 B59 B73 Cw1 Cw2 Cw10 Cw9 Cw4 Cw5 Cw6 Cw8 Cw12 Cw14 Cw15 Cw17 Cw18 DR11 DQ2 DQ7 DQ8 DQ9 DQ4";99,63;1;0,000145011600928074
"104";"A1 A2 A23 A24 A25 A26 A34 A66 A11 A29 A30 A31 A32 A33 A74 A68 A69 A36 A43 A80 B51 B8 B44 B45 B13 B64 B65 B63 B75 B76 B77 B72 B38 B39 B57 B58 B18 B50 B54 B55 B35 B37 B61 B41 B42 B46 B53 B59 B67 B78 B82 Cw15";99,55;1;0,000145011600928074
"105";"A1 A2 A23 A24 A25 A26 A34 A66 A11 A29 A30 A31 A32 A33 A74 B7 B8 B44 B45 B13 B14 B38 B27 B35 B37 DR13 DQ6 DQ7 DQ8 DQ9";99,97;1;0,000145011600928074
"106";"A1 A2 A23 A24 A25 A26 A34 A66 A11 A29 A30 A31 A32 A33 B44 B45 B27 B60";96,78;1;0,000145011600928074
"107";"A1 A2 A23 A24 A25 A26 A34 A66 A11 A68 A69 A36 B57 B58 B18";93,36;1;0,000145011600928074
"108";"A1 A2 A23 A24 A25 A26 A34 A66 A11 A74 A68 A69 B45 B49 B50";92,55;1;0,000145011600928074
"109";"A1 A2 A23 A24 A25 A26 A34 A66 A29 A30 A31 A32 A33 A74 A68 A69 A36 A43 A80 B7 B45 B63 B38 B57 B58 B27 B42 B53 B67 B73 B81 Cw7 Cw17";98,66;1;0,000145011600928074
"110";"A1 A2 A23 A24 A25 A26 A34 A66 A29 A30 A31 A32 A33 A74 A68 A69 A36 A43 B76 B38 B39 B57 B58 B67 B82 DR7 DQ2";97;1;0,000145011600928074
"111";"A1 A2 A23 A24 A25 A26 A34 A66 A29 A31 A32 A33 A74 A28 B51 B52 B7 B8 B45 B13 B62 B63 B38 B39 B57 B58 B18 B49 B54 B55 B56 B27 B35 B37 B60 B61 B41 B42 B47 B53 B81 DR15 DR16 DR11 DR12 DR13 DR14 DR7 DR8 DR9 DR51";100;1;0,000145011600928074
"112";"A1 A2 A23 A24 A25 A26 A66 A28 A36 B8 DR18 DR11 DR12 DR7 DR9";94,37;1;0,000145011600928074
"113";"A1 A2 A23 A24 A25 A28 B8 B44 B45 B27 B37 DR7 DR8";93,23;1;0,000145011600928074
"114";"A1 A2 A23 A24 A25 A29 A32 A68 A69 A36 A43 A80 B51 B52 B44 B13 B63 B77 B38 B39 B57 B58 B49 B54 B27 B37 B60 B61 B42 B47 B48 B53 B59 B67 B73 B81 DR17 DR18 DR11 DR12 DR13 DR14 DR8 DR52 DQ2";98,7;1;0,000145011600928074
"115";"A1 A2 A23 A24 A25 A32 A28 A80 B12 B13 B15 B70 B27 B37 B40 B47 Bw4 Cw10 Cw9 DR12 DR8";97,66;1;0,000145011600928074
"116";"A1 A2 A23 A24 A25 A32 A28 B51 B52 B44 B45 B13 B62 B63 B75 B76 B77 B71 B72 B38 B39 B57 B58 B18 B49 B50 B54 B56 B27 B35 B37 B60 B61 B41 B46 B47 B48 B53 B59 B67 B78 B81 DR3 DR11 DR12";99,28;1;0,000145011600928074
