time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
7658	1.1273672125	-1.674938462	-3.382028822	1.1273672125	-1.781451532
7659	1.1274407064	-1.675115569	-3.382664747	1.1274407064	-1.781647466
7660	1.1275141907	-1.675292652	-3.383300588	1.1275141907	-1.781843374
7661	1.1275876654	-1.675469712	-3.383936346	1.1275876654	-1.782039257
7662	1.1276611305	-1.67564675	-3.384572022	1.1276611305	-1.782235114
7663	1.1277345861	-1.675823764	-3.385207614	1.1277345861	-1.782430946
7664	1.127808032	-1.676000755	-3.385843124	1.127808032	-1.782626752
7665	1.1278814684	-1.676177723	-3.38647855	1.1278814684	-1.782822532
7666	1.1279548952	-1.676354667	-3.387113894	1.1279548952	-1.783018287
7667	1.1280283124	-1.676531589	-3.387749155	1.1280283124	-1.783214016
7668	1.12810172	-1.676708488	-3.388384332	1.12810172	-1.78340972
7669	1.1281751181	-1.676885363	-3.389019428	1.1281751181	-1.783605399
7670	1.1282485066	-1.677062216	-3.38965444	1.1282485066	-1.783801052
7671	1.1283218855	-1.677239045	-3.390289369	1.1283218855	-1.783996679
7672	1.1283952548	-1.677415852	-3.390924216	1.1283952548	-1.784192281
7673	1.1284686146	-1.677592635	-3.39155898	1.1284686146	-1.784387857
7674	1.1285419649	-1.677769396	-3.392193661	1.1285419649	-1.784583408
7675	1.1286153055	-1.677946133	-3.39282826	1.1286153055	-1.784778933
7676	1.1286886367	-1.678122847	-3.393462776	1.1286886367	-1.784974433
7677	1.1287619582	-1.678299538	-3.394097209	1.1287619582	-1.785169908
7678	1.1288352703	-1.678476207	-3.39473156	1.1288352703	-1.785365357
7679	1.1289085727	-1.678652852	-3.395365828	1.1289085727	-1.78556078
7680	1.1289818657	-1.678829474	-3.396000013	1.1289818657	-1.785756178
7681	1.129055149	-1.679006073	-3.396634116	1.129055149	-1.785951551
7682	1.1291284229	-1.67918265	-3.397268136	1.1291284229	-1.786146898
7683	1.1292016872	-1.679359203	-3.397902074	1.1292016872	-1.78634222
7684	1.129274942	-1.679535733	-3.398535929	1.129274942	-1.786537516
7685	1.1293481872	-1.67971224	-3.399169702	1.1293481872	-1.786732787
7686	1.1294214229	-1.679888725	-3.399803392	1.1294214229	-1.786928033
7687	1.1294946491	-1.680065186	-3.400437	1.1294946491	-1.787123253
7688	1.1295678657	-1.680241625	-3.401070525	1.1295678657	-1.787318448
7689	1.1296410729	-1.68041804	-3.401703968	1.1296410729	-1.787513617
7690	1.1297142705	-1.680594433	-3.402337329	1.1297142705	-1.787708761
7691	1.1297874586	-1.680770802	-3.402970607	1.1297874586	-1.78790388
7692	1.1298606372	-1.680947149	-3.403603803	1.1298606372	-1.788098973
7693	1.1299338062	-1.681123473	-3.404236917	1.1299338062	-1.788294041
7694	1.1300069658	-1.681299774	-3.404869948	1.1300069658	-1.788489083
7695	1.1300801158	-1.681476051	-3.405502897	1.1300801158	-1.7886841
7696	1.1301532564	-1.681652306	-3.406135764	1.1301532564	-1.788879092
7697	1.1302263874	-1.681828539	-3.406768549	1.1302263874	-1.789074059
7698	1.1302995089	-1.682004748	-3.407401251	1.1302995089	-1.789269
7699	1.130372621	-1.682180934	-3.408033871	1.130372621	-1.789463916
7700	1.1304457235	-1.682357098	-3.408666409	1.1304457235	-1.789658806
7701	1.1305188166	-1.682533238	-3.409298865	1.1305188166	-1.789853671
7702	1.1305919001	-1.682709356	-3.409931239	1.1305919001	-1.790048511
7703	1.1306649742	-1.682885451	-3.410563531	1.1306649742	-1.790243326
7704	1.1307380388	-1.683061523	-3.41119574	1.1307380388	-1.790438115
7705	1.1308110939	-1.683237572	-3.411827868	1.1308110939	-1.790632879
7706	1.1308841395	-1.683413598	-3.412459913	1.1308841395	-1.790827618
7707	1.1309571756	-1.683589602	-3.413091877	1.1309571756	-1.791022331
7708	1.1310302023	-1.683765582	-3.413723758	1.1310302023	-1.79121702
7709	1.1311032195	-1.68394154	-3.414355558	1.1311032195	-1.791411683
7710	1.1311762272	-1.684117475	-3.414987275	1.1311762272	-1.79160632
7711	1.1312492255	-1.684293387	-3.415618911	1.1312492255	-1.791800933
7712	1.1313222143	-1.684469276	-3.416250465	1.1313222143	-1.79199552
7713	1.1313951936	-1.684645143	-3.416881937	1.1313951936	-1.792190082
7714	1.1314681635	-1.684820987	-3.417513327	1.1314681635	-1.792384619
7715	1.1315411239	-1.684996807	-3.418144635	1.1315411239	-1.792579131
7716	1.1316140748	-1.685172606	-3.418775861	1.1316140748	-1.792773617
7717	1.1316870163	-1.685348381	-3.419407006	1.1316870163	-1.792968078
7718	1.1317599483	-1.685524133	-3.420038068	1.1317599483	-1.793162514
7719	1.1318328709	-1.685699863	-3.420669049	1.1318328709	-1.793356925
7720	1.1319057841	-1.68587557	-3.421299949	1.1319057841	-1.79355131
7721	1.1319786878	-1.686051255	-3.421930766	1.1319786878	-1.793745671
7722	1.132051582	-1.686226916	-3.422561502	1.132051582	-1.793940006
7723	1.1321244669	-1.686402555	-3.423192156	1.1321244669	-1.794134316
7724	1.1321973422	-1.686578171	-3.423822728	1.1321973422	-1.794328601
7725	1.1322702082	-1.686753764	-3.424453219	1.1322702082	-1.794522861
7726	1.1323430647	-1.686929335	-3.425083629	1.1323430647	-1.794717095
