time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
107	-1.276396446	1.3628330649	-1.852032048	-1.276396446	1.1708375303	-1.276396446	1.1708375303
108	-1.271160566	1.3652458495	-1.845565305	-1.271160566	1.173977414	-1.271160566	1.173977414
109	-1.265972943	1.3675928937	-1.839082514	-1.265972943	1.1770531651	-1.265972943	1.1770531651
110	-1.260832697	1.3698757097	-1.83258451	-1.260832697	1.1800662067	-1.260832697	1.1800662067
111	-1.25573897	1.3720957637	-1.826072096	-1.25573897	1.1830179197	-1.25573897	1.1830179197
112	-1.250690927	1.3742544779	-1.819546047	-1.250690927	1.1859096438	-1.250690927	1.1859096438
113	-1.245687756	1.3763532318	-1.813007108	-1.245687756	1.1887426795	-1.245687756	1.1887426795
114	-1.240728666	1.3783933643	-1.806455996	-1.240728666	1.1915182892	-1.240728666	1.1915182892
115	-1.235812888	1.3803761748	-1.799893402	-1.235812888	1.1942376988	-1.235812888	1.1942376988
116	-1.230939671	1.3823029249	-1.793319995	-1.230939671	1.1969020992	-1.230939671	1.1969020992
117	-1.226108285	1.3841748396	-1.786736416	-1.226108285	1.1995126471	-1.226108285	1.1995126471
118	-1.221318018	1.3859931089	-1.780143283	-1.221318018	1.2020704668	-1.221318018	1.2020704668
119	-1.216568175	1.3877588888	-1.773541196	-1.216568175	1.2045766511	-1.216568175	1.2045766511
120	-1.21185808	1.3894733029	-1.766930728	-1.21185808	1.2070322623	-1.21185808	1.2070322623
121	-1.207187074	1.391137443	-1.760312436	-1.207187074	1.2094383334	-1.207187074	1.2094383334
122	-1.202554513	1.3927523708	-1.753686856	-1.202554513	1.2117958692	-1.202554513	1.2117958692
123	-1.197959768	1.3943191184	-1.747054503	-1.197959768	1.2141058473	-1.197959768	1.2141058473
124	-1.193402229	1.3958386899	-1.740415878	-1.193402229	1.2163692188	-1.193402229	1.2163692188
125	-1.188881297	1.3973120619	-1.733771461	-1.188881297	1.2185869095	-1.188881297	1.2185869095
126	-1.184396388	1.3987401848	-1.727121716	-1.184396388	1.2207598204	-1.184396388	1.2207598204
127	-1.179946934	1.4001239833	-1.720467092	-1.179946934	1.2228888291	-1.179946934	1.2228888291
128	-1.175532378	1.4014643577	-1.713808023	-1.175532378	1.22497479	-1.175532378	1.22497479
129	-1.171152177	1.4027621845	-1.707144925	-1.171152177	1.2270185353	-1.171152177	1.2270185353
130	-1.1668058	1.4040183171	-1.700478204	-1.1668058	1.2290208758	-1.1668058	1.2290208758
131	-1.162492729	1.4052335866	-1.693808247	-1.162492729	1.2309826017	-1.162492729	1.2309826017
132	-1.158212457	1.4064088029	-1.687135432	-1.158212457	1.232904483	-1.158212457	1.232904483
133	-1.153964489	1.4075447548	-1.680460123	-1.153964489	1.2347872701	-1.153964489	1.2347872701
134	-1.149748342	1.4086422111	-1.673782671	-1.149748342	1.2366316948	-1.149748342	1.2366316948
135	-1.145563542	1.4097019211	-1.667103416	-1.145563542	1.2384384707	-1.145563542	1.2384384707
136	-1.141409626	1.4107246153	-1.660422684	-1.141409626	1.2402082937	-1.141409626	1.2402082937
137	-1.137286142	1.4117110059	-1.653740794	-1.137286142	1.2419418425	-1.137286142	1.2419418425
138	-1.133192647	1.4126617872	-1.647058052	-1.133192647	1.2436397796	-1.133192647	1.2436397796
139	-1.129128709	1.4135776368	-1.640374753	-1.129128709	1.2453027511	-1.129128709	1.2453027511
140	-1.125093903	1.4144592153	-1.633691183	-1.125093903	1.2469313876	-1.125093903	1.2469313876
141	-1.121087815	1.4153071675	-1.62700762	-1.121087815	1.2485263049	-1.121087815	1.2485263049
142	-1.117110038	1.4161221223	-1.620324331	-1.117110038	1.250088104	-1.117110038	1.250088104
143	-1.113160176	1.4169046938	-1.613641573	-1.113160176	1.2516173716	-1.113160176	1.2516173716
144	-1.109237839	1.4176554812	-1.606959598	-1.109237839	1.2531146808	-1.109237839	1.2531146808
145	-1.105342647	1.4183750696	-1.600278645	-1.105342647	1.2545805915	-1.105342647	1.2545805915
146	-1.101474226	1.4190640302	-1.59359895	-1.101474226	1.2560156503	-1.101474226	1.2560156503
147	-1.097632211	1.4197229208	-1.586920737	-1.097632211	1.2574203916	-1.097632211	1.2574203916
148	-1.093816244	1.4203522863	-1.580244226	-1.093816244	1.2587953373	-1.093816244	1.2587953373
149	-1.090025973	1.4209526591	-1.573569627	-1.090025973	1.2601409977	-1.090025973	1.2601409977
150	-1.086261056	1.4215245589	-1.566897144	-1.086261056	1.2614578713	-1.086261056	1.2614578713
151	-1.082521155	1.422068494	-1.560226975	-1.082521155	1.2627464456	-1.082521155	1.2627464456
152	-1.07880594	1.4225849609	-1.55355931	-1.07880594	1.2640071974	-1.07880594	1.2640071974
153	-1.075115087	1.4230744448	-1.546894335	-1.075115087	1.2652405926	-1.075115087	1.2652405926
154	-1.071448279	1.4235374202	-1.540232228	-1.071448279	1.2664470871	-1.071448279	1.2664470871
155	-1.067805205	1.4239743509	-1.533573162	-1.067805205	1.2676271266	-1.067805205	1.2676271266
156	-1.064185559	1.4243856903	-1.526917303	-1.064185559	1.2687811474	-1.064185559	1.2687811474
157	-1.060589042	1.4247718819	-1.520264813	-1.060589042	1.2699095761	-1.060589042	1.2699095761
158	-1.05701536	1.4251333595	-1.513615848	-1.05701536	1.2710128302	-1.05701536	1.2710128302
159	-1.053464225	1.4254705473	-1.50697056	-1.053464225	1.2720913184	-1.053464225	1.2720913184
160	-1.049935354	1.4257838604	-1.500329093	-1.049935354	1.2731454405	-1.049935354	1.2731454405
161	-1.04642847	1.4260737049	-1.49369159	-1.04642847	1.2741755881	-1.04642847	1.2741755881
162	-1.042943301	1.426340478	-1.487058187	-1.042943301	1.2751821443	-1.042943301	1.2751821443
163	-1.039479579	1.4265845688	-1.480429016	-1.039479579	1.2761654845	-1.039479579	1.2761654845
164	-1.036037042	1.4268063577	-1.473804204	-1.036037042	1.277125976	-1.036037042	1.277125976
165	-1.032615433	1.4270062175	-1.467183875	-1.032615433	1.2780639787	-1.032615433	1.2780639787
166	-1.029214498	1.4271845128	-1.460568148	-1.029214498	1.2789798451	-1.029214498	1.2789798451
167	-1.025833989	1.4273416008	-1.453957139	-1.025833989	1.2798739205	-1.025833989	1.2798739205
168	-1.022473662	1.4274778312	-1.447350959	-1.022473662	1.280746543	-1.022473662	1.280746543
169	-1.019133278	1.4275935465	-1.440749715	-1.019133278	1.2815980442	-1.019133278	1.2815980442
170	-1.015812602	1.427689082	-1.434153512	-1.015812602	1.2824287487	-1.015812602	1.2824287487
171	-1.012511402	1.4277647664	-1.427562451	-1.012511402	1.2832389748	-1.012511402	1.2832389748
172	-1.00922945	1.4278209216	-1.420976628	-1.00922945	1.2840290345	-1.00922945	1.2840290345
173	-1.005966525	1.4278578629	-1.414396137	-1.005966525	1.2847992335	-1.005966525	1.2847992335
174	-1.002722407	1.4278758993	-1.40782107	-1.002722407	1.2855498716	-1.002722407	1.2855498716
175	-0.999496879	1.4278753337	-1.401251513	-0.999496879	1.2862812426	-0.999496879	1.2862812426
176	-0.99628973	1.4278564628	-1.394687553	-0.99628973	1.2869936348	-0.99628973	1.2869936348
177	-0.993100753	1.4278195776	-1.388129269	-0.993100753	1.2876873306	-0.993100753	1.2876873306
178	-0.989929742	1.4277649631	-1.381576741	-0.989929742	1.2883626074	-0.989929742	1.2883626074
179	-0.986776495	1.4276928989	-1.375030046	-0.986776495	1.2890197368	-0.986776495	1.2890197368
180	-0.983640815	1.4276036592	-1.368489257	-0.983640815	1.2896589855	-0.983640815	1.2896589855
181	-0.980522508	1.4274975126	-1.361954445	-0.980522508	1.2902806151	-0.980522508	1.2902806151
182	-0.977421382	1.4273747228	-1.355425678	-0.977421382	1.2908848823	-0.977421382	1.2908848823
183	-0.974337248	1.4272355482	-1.348903023	-0.974337248	1.2914720389	-0.974337248	1.2914720389
184	-0.971269921	1.4270802423	-1.342386542	-0.971269921	1.2920423319	-0.971269921	1.2920423319
185	-0.96821922	1.4269090538	-1.335876299	-0.96821922	1.292596004	-0.96821922	1.292596004
186	-0.965184964	1.4267222266	-1.329372351	-0.965184964	1.2931332931	-0.965184964	1.2931332931
187	-0.962166978	1.4265200002	-1.322874756	-0.962166978	1.293654433	-0.962166978	1.293654433
